country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,vaccines,source_name,source_website
Iran,IRN,4/30/2021,1068123,858296,209827,65532,50809,1.27,1.02,0.25,605,"Oxford/AstraZeneca, Sputnik V",Government of Iran,https://www.farsnews.ir/news/14000210000280
Iraq,IRQ,4/23/2021,298377,298377,,,14352,0.74,0.74,,357,"Oxford/AstraZeneca, Sinopharm/Beijing",Ministry of Health,https://www.kuna.net.kw/ArticleDetails.aspx?id=2973540&language=en
Ireland,IRL,5/1/2021,1591888,1146562,445326,19109,29448,32.24,23.22,9.02,5964,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Heath Service Executive,https://covid19ireland-geohive.hub.arcgis.com/
Isle of Man,IMN,5/1/2021,72626,56849,15777,,511,85.41,66.86,18.55,6010,"Oxford/AstraZeneca, Pfizer/BioNTech",Isle of Man Government,https://covid19.gov.im/general-information/covid-19-vaccination-statistics/
Israel,ISR,5/2/2021,10458345,5403739,5054606,9053,8715,120.83,62.43,58.4,1007,"Moderna, Pfizer/BioNTech",Government of Israel,https://datadashboard.health.gov.il/COVID-19/general
Italy,ITA,5/2/2021,20755863,14593168,6249347,358474,417028,34.33,24.14,10.34,6897,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Extraordinary commissioner for the Covid-19 emergency,https://raw.githubusercontent.com/italia/covid19-opendata-vaccini/master/dati/somministrazioni-vaccini-latest.csv
Jamaica,JAM,4/13/2021,135473,135473,,,13076,4.57,4.57,,4416,Oxford/AstraZeneca,Government of Jamaica,http://jamaica-gleaner.com/article/lead-stories/20210415/vaxxed-max
Japan,JPN,4/29/2021,3489719,2493961,995758,,138953,2.76,1.97,0.79,1099,Pfizer/BioNTech,Prime Minister's Office,https://www.kantei.go.jp/jp/headline/kansensho/vaccine.html
Jersey,JEY,4/25/2021,82738,52405,30333,,793,81.86,51.85,30.01,7846,"Oxford/AstraZeneca, Pfizer/BioNTech",Government of Jersey,https://www.gov.je/Health/Coronavirus/Vaccine/Pages/VaccinationStatistics.aspx
Jordan,JOR,4/29/2021,919922,699328,220594,,18787,9.02,6.85,2.16,1841,"Pfizer/BioNTech, Sinopharm/Beijing",Government of Jordan,https://petra.gov.jo/Include/InnerPage.jsp?ID=175868&lang=ar&name=news
